******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:       0      11      14      11      36
         1_BUY:       3       4       1       3      11
        1_SELL:       3       4       1       3      11
         2_BUY:       2       2       5       4      13
        2_SELL:       2       2       5       4      13
         3_BUY:       5       6       5       3      19
        3_SELL:       5       6       5       3      19
         4_BUY:       1       1       0       0       2
        4_SELL:       1       1       0       0       2
         5_BUY:       1       0       1       1       3
        5_SELL:       1       0       1       1       3
         6_BUY:       2       0       1       1       4
        6_SELL:       2       0       1       1       4
         7_BUY:       0       1       0       0       1
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      57      23      83      65     228
         1_BUY:       2       2       8       6      18
        1_SELL:       1       2       8       6      17
         2_BUY:       7       4       4       4      19
        2_SELL:       4       4       4       4      16
         3_BUY:       7       8       4       2      21
        3_SELL:      11       8       4       2      25
         4_BUY:       1       3       0       1       5
        4_SELL:       1       2       0       1       4
         5_BUY:       1       2       1       1       5
        5_SELL:       1       2       1       0       4
         6_BUY:       0       0       2       2       4
        6_SELL:       0       0       2       2       4
         7_BUY:       1       1       0       1       3
        7_SELL:       1       1       0       1       3
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      15      38      17      22      92
         1_BUY:       1       4       3       2      10
        1_SELL:       1       3       3       2       9
         2_BUY:       1       3       5       4      13
        2_SELL:       1       3       5       4      13
         3_BUY:      10       3       2       2      17
        3_SELL:       9       3       2       2      16
         4_BUY:       2       0       0       0       2
        4_SELL:       2       0       0       0       2
         5_BUY:       0       1       1       1       3
        5_SELL:       0       1       1       1       3
         6_BUY:       1       1       0       1       3
        6_SELL:       1       1       0       1       3
         7_BUY:       1       0       0       1       2
        7_SELL:       1       0       0       1       2
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:       9      12       3       1      25
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       3       3       6      12
        2_SELL:       0       3       2       6      11
         3_BUY:      10      13       9       6      38
        3_SELL:      10      13       9       6      38
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       5       2       2       0       9
        6_SELL:       4       1       2       0       7
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      62      42      48      68     220
         1_BUY:       6       8       9       3      26
        1_SELL:       6       8       9       3      26
         2_BUY:       6       6       5       9      26
        2_SELL:       6       6       5       9      26
         3_BUY:       9       4       6       8      27
        3_SELL:       9       4       5       8      26
         4_BUY:       3       1       3       1       8
        4_SELL:       2       1       3       1       7
         5_BUY:       3       2       2       0       7
        5_SELL:       3       2       2       0       7
         6_BUY:       1       2       1       4       8
        6_SELL:       1       1       1       4       7
